-0.000002, 0.000000	 -0.000003, 0.000000	 0.000012, 0.016048
-0.000003, 0.016048	 -0.000006, 0.016048	 0.016070, 0.031201
-0.000027, 0.031201	 -0.000031, 0.031201	 0.047282, 0.046398
-0.000072, 0.046398	 -0.000078, 0.046398	 0.093691, 0.061584
-0.000135, 0.061584	 -0.000117, 0.061584	 0.155285, 0.076757
-0.000219, 0.076757	 -0.000177, 0.076757	 0.232053, 0.091963
-0.001103, 0.091963	 -0.000860, 0.091963	 0.324768, 0.219704
-0.001217, 0.219704	 -0.000864, 0.219704	 0.544484, 0.235321
-0.001519, 0.235321	 -0.001054, 0.235321	 0.779816, 0.251297
-0.001844, 0.251297	 -0.001266, 0.251297	 1.031125, 0.267219
-0.002196, 0.267219	 -0.001505, 0.267219	 1.298356, 0.283338
-0.002562, 0.283338	 -0.001743, 0.283338	 1.581706, 0.299353
-0.002951, 0.299353	 -0.002005, 0.299353	 1.861070, 0.215356
-0.006294, 0.215356	 -0.004315, 0.215356	 2.057193, 0.245075
-0.006586, 0.245075	 -0.004524, 0.245075	 2.282280, 0.161404
-0.006916, 0.161404	 -0.004771, 0.161404	 2.423696, 0.077404
-0.007125, 0.077404	 -0.004897, 0.077404	 2.481112, -0.006574
-0.007215, -0.006574	 -0.004934, -0.006574	 2.454550, -0.090541
-0.007182, -0.090541	 -0.004850, -0.090541	 2.344020, -0.174771
-0.007030, -0.174771	 -0.004646, -0.174771	 2.149260, -0.259002
-0.004781, -0.259002	 -0.001970, -0.259002	 1.871024, -0.229178
-0.004360, -0.229178	 -0.001582, -0.229178	 1.641858, -0.213149
-0.003990, -0.213149	 -0.001245, -0.213149	 1.428720, -0.197450
-0.003642, -0.197450	 -0.000930, -0.197450	 1.231281, -0.181729
-0.003302, -0.181729	 -0.000647, -0.181729	 1.049563, -0.166070
-0.002992, -0.166070	 -0.000393, -0.166070	 0.883504, -0.150761
-0.002704, -0.150761	 -0.000160, -0.150761	 0.732754, -0.135441
-0.000461, -0.135441	 0.001613, -0.135441	 0.598070, -0.006742
-0.000164, -0.006742	 0.001810, -0.006742	 0.591339, 0.008774
-0.000052, 0.008774	 0.001823, 0.008774	 0.600123, 0.024289
0.000038, 0.024289	 0.001815, 0.024289	 0.624424, 0.039773
0.000111, 0.039773	 0.001791, 0.039773	 0.664208, 0.055266
0.000164, 0.055266	 0.001745, 0.055266	 0.719486, 0.071085
0.000193, 0.071085	 0.001676, 0.071085	 0.790582, 0.086850
