0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.026486, -0.030333	 -0.034213, -0.038065	 -0.041894, -0.045695
-0.049466, -0.057495	 -0.061101, -0.064664	 -0.068198, -0.071705
-0.075219, -0.078702	 -0.088440, -0.091715	 -0.094939, -0.098132
-0.101252, -0.104317	 -0.107351, -0.117975	 -0.120939, -0.123870
-0.126766, -0.129652	 -0.132528, -0.135367	 -0.146662, -0.149539
-0.152353, -0.155131	 -0.158022, -0.160880	 -0.163699, -0.176413
-0.179066, -0.181624	 -0.184030, -0.186374	 -0.188689, -0.190981
-0.203778, -0.205244	 -0.206660, -0.208115	 -0.209540, -0.210933
-0.212309, -0.224485	 -0.225932, -0.227274	 -0.228740, -0.230176
-0.231585, -0.233170	 -0.245692, -0.247243	 -0.248797, -0.250351
-0.251875, -0.253366	 -0.254787, -0.267528	 -0.268496, -0.269387
-0.270221, -0.271030	 -0.271820, -0.272532	 -0.284400, -0.284624
-0.284685, -0.284719	 -0.284729, -0.284800	 -0.284846, -0.295291
-0.295108, -0.294845	 -0.294564, -0.294236	 -0.293891, -0.293528
-0.302157, -0.301460	 -0.300692, -0.299912	 -0.299042, -0.298179
-0.297307, -0.303424	 -0.302133, -0.300797	 -0.299450, -0.298100
-0.296746, -0.295389	 -0.299142, -0.297943	 -0.296718, -0.295645
-0.294571, -0.293496	 -0.292398, -0.294459	 -0.293215, -0.291883
-0.290554, -0.289227	 -0.287902, -0.286549	 -0.286989, -0.285610
-0.284298, -0.282995	 -0.281697, -0.280573	 -0.279453, -0.278969
-0.278508, -0.278047	 -0.277586, -0.277127	 -0.276653, -0.276182
-0.276122, -0.275459	 -0.274793, -0.274130	 -0.273329, -0.272527
-0.271729, -0.271498	 -0.270492, -0.269491	 -0.268495, -0.267399
-0.266308, -0.265223	 -0.264191, -0.262804	 -0.261428, -0.260061
-0.258674, -0.257300	 -0.255935, -0.253300	 -0.252071, -0.250850
-0.249639, -0.248402	 -0.247175, -0.245961	 -0.242593, -0.241577
-0.240578, -0.239493	 -0.238423, -0.237364	 -0.236317, -0.232350
-0.231164, -0.229999	 -0.228781, -0.227577	 -0.226388, -0.225179
-0.220241, -0.219034	 -0.217861, -0.216777	 -0.215697, -0.214631
-0.213721, -0.208215	 -0.207713, -0.207387	 -0.207073, -0.206769
-0.206475, -0.206314	 -0.202162, -0.202188	 -0.202240, -0.202302
-0.202371, -0.202419	 -0.202456, -0.199526	 -0.199430, -0.199206
-0.198990, -0.198779	 -0.198513, -0.198246	 -0.195342, -0.194961
-0.194604, -0.194254	 -0.193903, -0.193476	 -0.193056, -0.189896
-0.189105, -0.188336	 -0.187578, -0.186691	 -0.185814, -0.184950
-0.180624, -0.179918	 -0.179239, -0.178571	 -0.177956, -0.177354
-0.176762, -0.171922	 -0.171767, -0.171641	 -0.171700, -0.171754
-0.171816, -0.171887	 -0.168095, -0.168743	 -0.169411, -0.170211
-0.171014, -0.171820	 -0.172724, -0.170530	 -0.171606, -0.172726
-0.173872, -0.175014	 -0.176154, -0.177301	 -0.177331, -0.178322
-0.179237, -0.180148	 -0.181053, -0.181953	 -0.182711, -0.184387
-0.184819, -0.185263	 -0.185700, -0.186133	 -0.186668, -0.187196
-0.189352, -0.189890	 -0.190417, -0.190937	 -0.191476, -0.191992
-0.192501, -0.195452	 -0.195549, -0.195631	 -0.195708, -0.195585
-0.195458, -0.195327	 -0.196880, -0.196613	 -0.196340, -0.196252
-0.196163, -0.196073	 -0.195982, -0.196539	 -0.197028, -0.197513
-0.198247, -0.198976	 -0.199700, -0.200471	 -0.201952, -0.202675
-0.203326, -0.203970	 -0.204610, -0.205253	 -0.205919, -0.207969
-0.208665, -0.209331	 -0.209990, -0.210642	 -0.211291, -0.211933
-0.214441, -0.214925	 -0.215389, -0.215846	 -0.216213, -0.216580
-0.216940, -0.219282	 -0.219462, -0.219627	 -0.219787, -0.219889
-0.219993, -0.220093	 -0.222224, -0.222139	 -0.222046, -0.221914
-0.221779, -0.221642	 -0.221487, -0.222773	 -0.222427, -0.222077
-0.221703, -0.221330	 -0.220958, -0.220410	 -0.220346, -0.219692
-0.219036, -0.218428	 -0.217824, -0.217224	 -0.216643, -0.215738
-0.215262, -0.214759	 -0.214261, -0.213766	 -0.213285, -0.212817
-0.211666, -0.210957	 -0.210261, -0.209569	 -0.208883, -0.208059
-0.207239, -0.205321	 -0.204500, -0.203688	 -0.202882, -0.202086
-0.201461, -0.200850	 -0.198372, -0.198051	 -0.197738, -0.197432
-0.197239, -0.197052	 -0.196869, -0.195088	 -0.195161, -0.195245
-0.195333, -0.195351	 -0.195371, -0.195394	 -0.194301, -0.194031
